"#","ML Number","Status","Address","City","Zip","List Price","Close Price","Concessions","Rent Concession","ADOM","CDOM","Floors in Unit/Home","Basement","Garage Spaces","Garage Dimensions","Living Area Units","Year Built","Heated Area","SqFt Total"
"1","T3465861","CAN","12729 MAPLE BONSAI DR","RIVERVIEW","33579","$424,900","","","","29","29","Two","","2","","Square Feet","2022","1,870","2,270"
"1","T3451855","CAN","10027 ROSE PETAL PL","RIVERVIEW","33578","$424,900","","","","74","74","Two","","2","","Square Feet","2019","2,949","3,405"
"1","T3486604","CAN","5412 S HIMES AVE","TAMPA","33611","$425,000","","","","25","25","One","","","","Square Feet","1960","1,300","1,884"
"1","R4907116","CAN","5706 12TH AVE S","TAMPA","33619","$425,000","","","","1","1","One","","","","Square Feet","1973","1,456","1,456"
"1","T3457302","CAN","3009 W BROAD ST","TAMPA","33614","$425,000","","","","3","3","One","","","","Square Feet","1961","1,251","1,949"
"1","T3444398","CAN","5016 HARTFORD ST","TAMPA","33619","$425,000","","","","43","43","One","","","","Square Feet","1957","1,340","1,400"
"1","T3408863","CAN","1104 E NEW ORLEANS AVE","TAMPA","33603","$425,000","","","","23","23","One","","","","Square Feet","1923","1,056",""
"1","T3384235","CAN","710 DORADO CT","BRANDON","33511","$425,000","","","","17","17","One","","2","20x16","Square Feet","1985","1,944",""
"1","T3449802","CAN","8816 W PATTERSON ST","TAMPA","33615","$425,900","","","","105","105","One","","","","Square Feet","1982","1,962","1,962"
"1","T3413971","CAN","13832 CHERRY CREEK DR","TAMPA","33618","$425,900","","","","20","20","One","","2","","Square Feet","1976","1,952","2,940"
"1","T3476428","CAN","509 E LAKE AVE","TAMPA","33603","$429,900","","","","6","6","One","","","","Square Feet","2021","1,500","1,961"
"1","U8211498","CAN","7307 N HIGHLAND AVE","TAMPA","33604","$429,900","","","","53","53","One","","","","Square Feet","1953","1,300","1,300"
"1","T3478705","CAN","10145 SOMERSBY DR","RIVERVIEW","33578","$430,000","","","","13","13","One","","2","20X20","Square Feet","1998","1,840","2,240"
"1","T3477740","CAN","13214 ORCA SOUND DR","RIVERVIEW","33579","$430,000","","","","26","26","One","","2","","Square Feet","2019","2,061","2,461"
"1","T3432338","CAN","10818 NEWBRIDGE DR","RIVERVIEW","33579","$430,000","","","","87","87","Two","","2","20x20","Square Feet","2004","2,396","3,054"
"1","T3455874","CAN","12722 FOREST ST","TAMPA","33612","$433,900","","","","40","40","One","","","","Square Feet","1958","1,436","1,542"
"1","T3463391","CAN","11227 BEESWING PL","RIVERVIEW","33578","$435,000","","","","68","68","One","","2","19x20","Square Feet","2020","1,841","2,217"
"1","T3452068","CAN","3704 BAY AVE W","TAMPA","33611","$435,000","","","","51","51","One","","","","Square Feet","2001","1,200","1,260"
"1","U8202960","CAN","805 TIMBER POND DR","BRANDON","33510","$435,000","","","","18","18","One","","2","","Square Feet","1988","2,197","2,655"
"1","T3402819","CAN","13601 OGAKOR DR","RIVERVIEW","33579","$435,000","","","","1","1","One","","2","","Square Feet","2005","2,018",""
"1","T3430496","CAN","10413 N ANNETTE AVE","TAMPA","33612","$435,900","","","","23","23","One","","","","Square Feet","2017","1,911","1,911"
"1","T3430463","CAN","6765 RALSTON BEACH CIR","TAMPA","33614","$438,000","","","","12","12","One","","2","26x28","Square Feet","1963","1,622","2,196"
"1","T3458404","CAN","4125 W NASSAU ST","TAMPA","33607","$438,888","","","","32","32","One","","","","Square Feet","1960","1,638","1,638"
"1","T3457179","CAN","13105 ROYAL PINES AVE","RIVERVIEW","33579","$439,000","","","","67","67","One","","2","","Square Feet","2013","2,044","2,605"
"1","T3445702","CAN","10851 TRAILING VINE DR","TAMPA","33610","$439,000","","","","44","44","Two","","2","","Square Feet","2021","2,078","2,596"
"1","T3390253","CAN","4605 GOLDBUD LN","TAMPA","33624","$439,000","","","","20","20","One","","2","","Square Feet","1979","1,606",""
"1","T3455556","CAN","11511 MANSFIELD POINT DR","RIVERVIEW","33569","$439,400","","","","25","25","One","","2","","Square Feet","2015","1,908","2,476"
"1","U8211552","CAN","12316 STREAMBED DR","RIVERVIEW","33579","$439,900","","","","66","66","Two","","2","","Square Feet","2014","2,490","3,094"
"1","T3461502","CAN","11408 GREEN HARVEST DR","RIVERVIEW","33578","$439,900","","","","53","53","Two","","2","","Square Feet","2020","2,518","2,518"
"1","T3452837","CAN","5367 BLACK PINE DR","TAMPA","33624","$439,999","","","","2","2","One","","2","","Square Feet","1983","1,212","2,041"
"1","T3483051","CAN","1918 E SHADOWLAWN AVE","TAMPA","33610","$440,000","","","","14","14","One","","","","Square Feet","1960","1,337","1,433"
"1","T3469805","CAN","8520 TIDEWATER TRL Unit#TRI","TAMPA","33619","$440,000","","","","60","60","One","","","","Square Feet","1974","2,385","2,465"
"1","T3456839","CAN","7312 S SWOOPE ST","TAMPA","33611","$440,000","","","","5","5","One","","2","","Square Feet","2000","1,309","1,809"
"1","T3456499","CAN","204 W NORTH ST","TAMPA","33604","$440,000","","","","93","93","One","","","","Square Feet","1925","1,288","1,288"
"1","T3454957","CAN","4721 MURRAY HILL DR","TAMPA","33615","$440,000","","","","1","1","One","","","","Square Feet","1959","1,360","2,070"
"1","T3428204","CAN","9016 HOGANS BND","TAMPA","33647","$440,000","","","","92","92","One","","2","","Square Feet","1975","1,205","2,300"
"1","T3481851","CAN","909 EASTWOOD DR","BRANDON","33511","$445,000","","","","48","48","One","","2","29x32","Square Feet","1965","1,902","3,185"
"1","T3458045","CAN","909 E CRENSHAW ST","TAMPA","33604","$445,000","","","","19","19","One","Exterior Entry, Unfinished","","","Square Feet","1928","1,716","2,144"
"1","T3444950","CAN","7824 N CHURCH AVE","TAMPA","33614","$445,000","","","","111","111","One","","","","Square Feet","1987","1,050","1,108"
"1","T3478940","CAN","6006 N 9TH ST","TAMPA","33604","$446,000","","","","52","52","One","","1","14x20","Square Feet","1952","1,327","1,668"
"1","T3422021","CAN","10912 AUSTRALIAN PINE DR","RIVERVIEW","33579","$448,000","","","","216","216","Two","","3","","Square Feet","2004","2,686","3,544"
"1","J967316","CAN","6502 N 34TH ST","TAMPA","33610","$449,000","","","","7","7","One","","","","Square Feet","1959","1,925","1,928"
"1","O6141464","CAN","8114 N COOLIDGE AVE","TAMPA","33614","$449,000","","","","78","78","Two","","1","","Square Feet","2011","1,727","2,042"
"1","O6140885","CAN","18503 PUTTERS PL","TAMPA","33647","$449,000","","","","38","344","One","","2","","Square Feet","1979","1,912","2,588"
"1","O6135450","CAN","10907 N 29TH ST","TAMPA","33612","$449,000","","","","59","59","One","","2","20x20","Square Feet","1967","1,696","2,148"
"1","T3456422","CAN","9601 KIRKHILL CT","TAMPA","33615","$449,000","","","","50","50","One","","","","Square Feet","1986","1,556","1,866"
"1","U8200222","CAN","2512 W CORDELIA ST","TAMPA","33607","$449,000","","","","39","39","One","","","","Square Feet","1923","1,211","1,211"
"1","T3442319","CAN","104 W NORTH ST","TAMPA","33604","$449,000","","","","48","48","One","","","","Square Feet","1923","1,066","1,091"
"1","T3432296","CAN","3810 RIVER GROVE DR","TAMPA","33610","$449,900","","","","60","60","Two","","1","15x20","Square Feet","1977","1,834","2,499"
"1","T3459640","CAN","13122 ROYAL PINES AVE","RIVERVIEW","33579","$449,999","","","","103","103","Two","","2","","Square Feet","2013","2,546","2,786"
"1","T3419008","CAN","801 W YUKON ST","TAMPA","33604","$449,999","","","","73","73","One","","","","Square Feet","1981","1,986","2,064"
"1","T3479462","CAN","8265 MALVERN CIR","TAMPA","33634","$450,000","","","","57","57","One","","1","","Square Feet","1978","1,134","1,585"
"1","T3475516","CAN","13510 COLORADO PL","TAMPA","33626","$450,000","","","","18","18","One","","2","","Square Feet","1991","1,506","2,029"
"1","U8212362","CAN","4420 W VARN AVE","TAMPA","33616","$450,000","","","","52","52","One","","","","Square Feet","1969","1,210","1,600"
"1","T3461523","CAN","8603 N SEMINOLE AVE","TAMPA","33604","$450,000","","","","88","491","One","","2","","Square Feet","2023","1,530","1,921"
"1","T3457826","CAN","2907 N 11TH ST","TAMPA","33605","$450,000","","","","44","44","One","","","","Square Feet","1939","1,409","1,749"
"1","T3448303","CAN","910 E EMMA ST","TAMPA","33603","$450,000","","","","82","82","One","","","","Square Feet","1920","1,596","1,820"
"1","T3446947","CAN","5401 MAPLE LN","TAMPA","33610","$450,000","","","","137","137","One","","","","Square Feet","1976","1,476","1,476"
"1","T3430473","CAN","13509 FREEMARK BRIAR PL","RIVERVIEW","33579","$450,000","","","","101","101","One","","3","","Square Feet","2009","2,114","3,055"
"1","T3380406","CAN","11616 MISS CHLOE CT","RIVERVIEW","33579","$454,897","","","","74","74","One","","2","","Square Feet","2020","1,870",""
"1","T3462893","CAN","11616 MISS CHLOE CT","RIVERVIEW","33579","$454,997","","","","41","41","One","","2","","Square Feet","2020","1,870","2,545"
"1","T3460205","CAN","7210 PEARLY EVERLASTING AVE","TAMPA","33619","$455,000","","","","68","68","Two","","2","20x21","Square Feet","2020","2,415","2,901"
"1","T3411241","CAN","114 ARKWRIGHT DR","TAMPA","33613","$455,900","","","","101","101","Two","","","","Square Feet","1958","1,612",""
"1","A4580793","CAN","14901 OLDGATE PL","TAMPA","33624","$459,000","","","","106","106","Two","","2","","Square Feet","1982","2,028","2,549"
"1","T3434666","CAN","9839 LAUREL LEDGE DR","RIVERVIEW","33569","$459,000","","","","74","74","Two","","2","21X18","Square Feet","2002","2,443","3,260"
"1","T3419650","CAN","935 TERRA VISTA ST","BRANDON","33511","$459,900","","","","76","76","Two","","2","24x24","Square Feet","2017","2,386","2,974"
"1","T3476162","CAN","743 PEARL CIR","BRANDON","33510","$460,000","","","","29","29","One","","2","20x19","Square Feet","1965","1,845","1,845"
"1","T3475861","CAN","10312 RAINBRIDGE DR","RIVERVIEW","33569","$460,000","","","","32","32","One","","2","21x20","Square Feet","1989","2,063","2,671"
"1","U8212648","CAN","8807 CHESTERTON PL","TAMPA","33635","$460,000","","","","76","76","One","","2","","Square Feet","1994","1,419","1,891"
"1","U8212541","CAN","613 OVERLAND DR","BRANDON","33511","$460,000","","","","41","41","One","","2","","Square Feet","1970","1,698","2,834"
"1","T3469955","CAN","8820 AUBURN WAY","TAMPA","33615","$460,000","","","","13","13","One","","","","Square Feet","1972","1,870","1,870"
"1","T3446337","CAN","13831 KINSALE ST","RIVERVIEW","33579","$460,000","","","","116","116","Two","","2","","Square Feet","2021","3,126","3,838"
"1","T3414370","CAN","9729 CYPRESS SHADOW AVE","TAMPA","33647","$464,900","","","","138","138","One","","2","20x21","Square Feet","1990","1,595","2,055"
"1","T3462787","CAN","12840 TANNENCREST DR","RIVERVIEW","33579","$465,000","","","","95","95","Two","","2","","Square Feet","2021","2,493","3,037"
"1","T3477281","CAN","16501 LONESDALE PL","TAMPA","33624","$468,000","","","","14","14","One","","2","","Square Feet","1980","1,596","1,596"
"1","T3462617","CAN","1405 E PARIS ST","TAMPA","33604","$468,000","","","","34","34","One","Crawl Space","2","","Square Feet","1925","1,134","1,494"
"1","T3463139","CAN","514 S LARRY CIR","BRANDON","33511","$469,000","","","","9","9","One","","","","Square Feet","1963","2,439","3,396"
"1","U8202892","CAN","9304 HERITAGE OAK CT","TAMPA","33647","$469,000","","","","8","8","One","","2","","Square Feet","1993","2,041","2,916"
"1","T3459321","CAN","13154 GREEN VIOLET DR","RIVERVIEW","33579","$470,000","","","","26","114","Two","","2","","Square Feet","2017","2,571","3,340"
"1","T3449183","CAN","11828 CARA FIELD AVE","RIVERVIEW","33579","$470,000","","","","56","56","Two","","2","","Square Feet","2020","3,126","3,838"
"1","T3480316","CAN","6719 GRAND BAHAMA DR","TAMPA","33615","$472,900","","","","47","47","One","","2","","Square Feet","1985","1,706","2,583"
"1","T3463127","CAN","715 DEBRA LYNNE DR","BRANDON","33511","$474,000","","","","97","97","One","","2","","Square Feet","1969","2,123","3,296"
"1","T3473043","CAN","3814 W LEILA AVE","TAMPA","33616","$475,000","","","","16","16","One","","","","Square Feet","1954","1,175","1,251"
"1","T3467838","CAN","11125 WINTHROP LAKE DR","RIVERVIEW","33578","$475,000","","","","61","61","Two","","2","","Square Feet","2018","1,996","1,996"
"1","T3467478","CAN","2308 N 13TH ST","TAMPA","33605","$475,000","","","","87","87","Two","","","","Square Feet","2024","1,600","1,852"
