"#","ML Number","Status","Address","City","Zip","List Price","Close Price","Concessions","Rent Concession","ADOM","CDOM","Floors in Unit/Home","Basement","Garage Spaces","Garage Dimensions","Living Area Units","Year Built","Heated Area","SqFt Total"
"1","T3442844","ACT","11451 DUTCH IRIS DR","RIVERVIEW","33578","$379,900","","","","219","219","One","","2","20x20","Square Feet","2006","1,865","2,485"
"1","T3481380","ACT","11309 YEAGER CT","RIVERVIEW","33578","$379,990","","","","49","49","One","","2","","Square Feet","1998","1,478","2,468"
"1","T3474525","ACT","4610 N 35TH ST","TAMPA","33610","$379,990","","","","87","87","Two","","1","","Square Feet","2023","1,698","1,698"
"1","T3490755","ACT","2712 W STATE ST","TAMPA","33609","$380,000","","","","10","10","One","","","","Square Feet","1959","987","1,291"
"1","T3487132","ACT","14807 MARJO ST","TAMPA","33613","$380,000","","","","31","31","One","","","","Square Feet","1959","1,296","1,744"
"1","T3485657","ACT","605 HILLPINE WAY","BRANDON","33510","$380,000","","","","37","37","One","","2","","Square Feet","1978","1,690","2,221"
"1","T3484856","ACT","2810 N 33RD ST","TAMPA","33605","$380,000","","","","40","40","One","","","","Square Feet","2023","1,453","2,103"
"1","T3480720","ACT","12820 WESTON OAKS LN","RIVERVIEW","33579","$380,000","","","","59","59","One","","2","21x20","Square Feet","2023","1,540","2,002"
"1","T3476943","ACT","409 E CLUSTER AVE","TAMPA","33604","$380,000","","","","76","76","One","","","","Square Feet","1967","1,376","1,808"
"1","T3475349","ACT","10537 PARK MEADOWBROOKE DR","RIVERVIEW","33578","$380,000","","","","80","80","One","","2","","Square Feet","2016","2,140","2,645"
"1","U8207483","ACT","1103 E 32ND AVE","TAMPA","33603","$380,000","","","","112","112","Two","","","","Square Feet","1918","1,568","1,792"
"1","T3425984","ACT","8208 1/2 N HILLSBOROUGH LN","TAMPA","33604","$382,500","","","","321","321","One","","1","","Square Feet","2023","1,555","1,903"
"1","T3488069","ACT","11018 SPRING POINT CIR","RIVERVIEW","33579","$383,000","","","","24","24","One","","2","","Square Feet","2016","2,362","2,645"
