"#","ML Number","Status","Address","City","Zip","List Price","Close Price","Concessions","Rent Concession","ADOM","CDOM","Floors in Unit/Home","Basement","Garage Spaces","Garage Dimensions","Living Area Units","Year Built","Heated Area","SqFt Total"
"1","T3480460","ACT","11061 LITTLE BLUE HERON DR","RIVERVIEW","33579","$500,000","","","","54","54","Two","","3","","Square Feet","2015","3,412","4,363"
"1","T3478126","ACT","9707 BAY COLONY DR","RIVERVIEW","33578","$500,000","","","","60","60","One","","3","31X24","Square Feet","2005","2,042","3,055"
"1","T3394145","ACT","19249 EARLY VIOLET DR","TAMPA","33647","$500,000","","","","383","383","Two","","2","22x23","Square Feet","2011","2,426",""
"1","T3484794","ACT","10145 HEATHER SOUND DR","TAMPA","33647","$505,000","","","","34","34","One","","2","","Square Feet","2000","2,060","2,735"
"1","T3454954","ACT","11808 HOLLY CREEK DR","RIVERVIEW","33569","$505,000","","","","177","177","Two","","3","","Square Feet","2004","2,838","3,840"
"1","T3473001","ACT","16402 LAKE HEATHER DR","TAMPA","33618","$508,000","","","","83","83","One","","2","","Square Feet","1997","2,084","2,816"
"1","U8218910","ACT","19506 WHISPERING BROOK DR","TAMPA","33647","$509,900","","","","52","52","One","","2","","Square Feet","2016","2,112","2,666"
"1","T3453804","ACT","11330 GRAND WINTHROP AVE","RIVERVIEW","33578","$509,985","","","","176","176","One","","2","","Square Feet","2009","1,971","2,844"
"1","T3476955","ACT","13215 BROOKSIDE MOSS DR","RIVERVIEW","33579","$509,990","","","","75","75","Two","","2","","Square Feet","2024","3,313","3,954"
"1","T3489654","ACT","10718 PLANER PICKET DR","RIVERVIEW","33569","$510,000","","","","10","10","One","","3","","Square Feet","2018","2,393","3,163"
"1","U8222384","ACT","11903 STEPPINGSTONE BLVD","TAMPA","33635","$510,000","","","","19","19","One","","2","","Square Feet","1990","1,677","1,677"
"1","T3486365","ACT","2106 E CRAWFORD ST","TAMPA","33610","$510,000","","","","31","31","One","","","","Square Feet","2023","1,499","2,162"
"1","T3482910","ACT","305 W CAYUGA ST","TAMPA","33603","$510,000","","","","49","49","One","","","","Square Feet","1943","1,287","1,341"
"1","T3480617","ACT","8828 CYPRESS HAMMOCK DR","TAMPA","33614","$510,000","","","","60","60","Two","","2","","Square Feet","1999","2,060","2,593"
"1","O6129191","ACT","16612 LAKE HEATHER DR","TAMPA","33618","$510,000","","","","133","133","One","","2","","Square Feet","1997","1,973","1,973"
"1","L4941264","ACT","12318 TERRACE BLUFF ST","RIVERVIEW","33579","$511,440","","","","6","6","Two","","2","19x22","Square Feet","2024","3,162","3,765"
"1","T3484058","ACT","10044 REMINGTON DR","RIVERVIEW","33578","$512,000","","","","45","45","Two","","2","","Square Feet","1998","2,056","2,437"
"1","O6152233","ACT","5803 TAMPA SHORES BLVD","TAMPA","33615","$513,000","","","","49","49","One","","2","","Square Feet","1973","1,537","1,537"
"1","L4940741","ACT","4414 W WISCONSIN AVE","TAMPA","33616","$514,900","","","","36","36","One","","","","Square Feet","1956","1,863","1,999"
"1","T3483576","ACT","308 BRYAN OAK AVE","BRANDON","33511","$514,900","","","","46","46","Two","","2","","Square Feet","1984","3,152","3,682"
"1","T3482997","ACT","6935 DIMARCO RD","TAMPA","33634","$514,900","","","","47","47","One","","","","Square Feet","1959","2,230","2,230"
"1","T3480352","ACT","13106 ZOLO SPRINGS CIR","RIVERVIEW","33579","$514,900","","","","46","46","Two","","2","","Square Feet","2020","2,479","3,023"
"1","T3482772","ACT","4526 HIDDEN SHADOW DR","TAMPA","33614","$514,990","","","","49","49","Two","","2","","Square Feet","1996","2,107","2,569"
"1","T3490881","ACT","8418 N NEWPORT AVE","TAMPA","33604","$515,000","","","","10","10","One","","2","","Square Feet","2022","1,622","2,119"
"1","T3489797","ACT","4411 GANDY CIR","TAMPA","33616","$515,000","","","","13","13","One","","","","Square Feet","1969","1,442","1,522"
"1","T3471225","ACT","10117 HOLLAND RD","RIVERVIEW","33578","$515,000","","","","101","101","One","","3","","Square Feet","2012","2,780","3,855"
"1","T3453232","ACT","1523 LIONS CLUB DR","BRANDON","33511","$515,000","","","","168","168","One","","3","21x30","Square Feet","1996","2,015","3,116"
"1","A4588392","ACT","4108 W MONTGOMERY TER","TAMPA","33616","$518,000","","","","39","39","One","","","","Square Feet","1958","1,328","1,517"
