"#","ML Number","Status","Address","City","Zip","Legal Subdivision Name","Subdivision/Condo Name","Heated Area","Current Price","Beds","Full Baths","Half Baths","Year Built","Pool","Property Style","Tax","CDOM","ADOM","Days to Contract","Sold Terms","Close Date","LP / SqFt","SP/SqFt","SP / LP","List Office","List Agent","List Agent ID","Selling Office ID","LSC List Side","List Office Primary Board ID"
"1","T3435538","ACT","407 E GLADYS ST","TAMPA","33602","CENTRAL COURT","","1,747","$669,999","3","2","1","2023","None","Single Family Residence","$1,208.96","252","252","","","","$383.51","","","HOMEXPRESS REALTY, INC.","Toni Mabien","261560870","","Tampa","Tampa"
"1","T3478465","ACT","6418 NIKKI LN","TAMPA","33625","CUMBERLAND ESTATES","","2,742","$670,000","5","3","0","1998","Private","Single Family Residence","$5,825.98","69","69","","","","$244.35","","","FUTURE HOME REALTY INC","Sara Hamdar","261559648","","Tampa","Pinellas Suncoast"
"1","T3473121","ACT","8019 N GOMEZ AVE","TAMPA","33614","SILVER LAKE ESTATES","","2,591","$674,700","4","3","1","2000","None","Single Family Residence","$2,886.00","92","92","","","","$260.40","","","CHARLES RUTENBERG REALTY INC","Jessica Zambrana","261565959","","Tampa","Pinellas Suncoast"
"1","T3469826","ACT","11701 ARBOR MEAD AVE","RIVERVIEW","33569","MANORS AT FOREST GLEN","","3,763","$674,900","5","3","1","2013","None","Single Family Residence","$724.23","101","101","","","","$179.35","","","REAL ESTATE FIRM OF FLORIDA, LLC","Melissa Martinez Burton","261540838","","Tampa","Tampa"
"1","T3463858","ACT","7406 MOUNT VERNON RD","TAMPA","33625","MANHATTAN PARK","","2,173","$674,900","3","2","1","2023","None","Single Family Residence","$2,009.47","294","135","","","","$310.58","","","REALTY BLU","Gabriel Molinet","261553257","","Tampa","Tampa"
"1","V4933708","ACT","12708 TRINITY SPRINGS LN","RIVERVIEW","33569","CAMELLIA ESTATES","","3,162","$675,000","4","4","0","2008","Private","Single Family Residence","$4,766.44","4","4","","","","$213.47","","","EXP REALTY LLC","Carlos Colon","235511844","","West Volusia","Sarasota - Manatee"
"1","T3491501","ACT","13610 AVISTA DR","TAMPA","33624","VILLAGE VI OF CARROLLWOOD VILL","","2,210","$675,000","4","2","0","1980","Private","Single Family Residence","$3,063.00","5","5","","","","$305.43","","","COLDWELL BANKER REALTY","Joe Lewkowicz","261500439","","Tampa","Tampa"
"1","T3489074","ACT","10103 KINGSBRIDGE AVE","TAMPA","33626","WESTCHASE SEC 377","","2,408","$675,000","4","3","0","1998","None","Single Family Residence","$6,623.13","18","18","","","","$280.32","","","BHHS FLORIDA PROPERTIES GROUP","Whitney Lohr","602502985","","Tampa","Tampa"
"1","T3488060","ACT","15520 CARRILLON ESTATES BLVD","TAMPA","33625","CARRILLON ESTATES","","2,564","$675,000","4","3","0","2003","None","Single Family Residence","$7,296.00","25","25","","","","$263.26","","","MARK SPAIN REAL ESTATE","Dawn Walls","266000746","","Tampa","Orlando Regional"
"1","T3486554","ACT","2556 LAKE ELLEN CIR","TAMPA","33618","LAKE ELLEN ESTATES SUB","","2,318","$675,000","4","3","0","1967","None","Single Family Residence","$1,960.40","32","32","","","","$291.20","","","FLORIDA EXECUTIVE REALTY","Beth Cupari","261524331","","Tampa","Tampa"
