"#","ML Number","Status","Address","City","Zip","List Price","Close Price","Concessions","Rent Concession","ADOM","CDOM","Floors in Unit/Home","Basement","Garage Spaces","Garage Dimensions","Living Area Units","Year Built","Heated Area","SqFt Total"
"1","T3444707","SLD","11208 LEPRECHAUN DR","RIVERVIEW","33569","$519,900","$510,000","","","18","18","One","","2","","Square Feet","1977","1,800","2,954"
"1","T3443501","SLD","4401 N LYNN AVE","TAMPA","33603","$499,000","$510,000","","","0","0","One","","2","","Square Feet","1956","1,418","2,066"
"1","U8199105","SLD","11804 COUNTRY COVE WAY","TAMPA","33635","$548,940","$510,000","","","16","16","One","","2","","Square Feet","1988","2,110","7,950"
"1","T3441397","SLD","900 E NEW ORLEANS AVE","TAMPA","33603","$520,000","$510,000","","","10","10","One","Crawl Space","","","Square Feet","2005","1,972","2,544"
"1","T3443928","SLD","12852 WESTON OAKS LN","RIVERVIEW","33579","$514,375","$514,375","","","26","26","Two","","2","20X20","Square Feet","2023","3,326","3,726"
"1","T3443694","SLD","1804 W CLUSTER AVE","TAMPA","33604","$530,000","$515,000","","","21","21","One","","2","","Square Feet","2023","1,731","2,320"
"1","T3442752","SLD","1804 E IDLEWILD AVE Unit#1/2","TAMPA","33610","$515,000","$515,000","","","3","3","One","","","","Square Feet","2018","1,574","2,176"
"1","T3442472","SLD","10034 OASIS PALM DR","TAMPA","33615","$509,000","$515,000","","","4","4","One","","2","","Square Feet","1998","1,957","2,793"
"1","T3442459","SLD","302 N LAUBER WAY","TAMPA","33609","$519,900","$515,000","","","6","6","One","","1","","Square Feet","1964","1,210","1,710"
"1","T3441244","SLD","7112 SAMUEL IVY DR","TAMPA","33619","$515,000","$515,000","","","33","33","Two","","2","","Square Feet","2021","3,362","3,858"
"1","L4936826","SLD","10815 WHITLAND GROVE DR","RIVERVIEW","33578","$494,900","$517,000","","","4","4","One","","2","20x20","Square Feet","2020","1,911","2,451"
"1","T3442605","SLD","12841 WILDFLOWER MEADOW DR","RIVERVIEW","33579","$525,000","$519,000","","","48","48","Two","","2","","Square Feet","2021","3,130","3,864"
"1","T3443943","SLD","19348 PADDOCK VIEW DR","TAMPA","33647","$520,000","$520,000","","","0","0","Two","","2","20x20","Square Feet","2014","2,921","2,921"
"1","J960439","SLD","10420 LUCAYA DR","TAMPA","33647","$522,000","$522,000","","","0","0","Two","","2","","Square Feet","2002","2,853","2,853"
"1","J960428","SLD","10420 LUCAYA DR","TAMPA","33647","$522,000","$522,000","","","0","0","Two","","2","20X20","Square Feet","2002","2,853","2,853"
"1","U8199631","SLD","12508 BAY BRANCH CT","TAMPA","33635","$549,500","$525,000","","","55","55","Two","","2","19x22","Square Feet","2004","2,650","3,468"
"1","T3444050","SLD","8726 THORNWOOD LN","TAMPA","33615","$600,000","$525,000","","","3","3","Two","","2","","Square Feet","1963","2,244","2,926"
"1","T3442035","SLD","15206 ANTILLES ISLES","TAMPA","33647","$529,980","$529,980","","","3","3","Two","","2","20x20","Square Feet","2014","3,008","3,008"
"1","T3444791","SLD","12109 NIGHT JASMINE CV","RIVERVIEW","33579","$529,900","$529,990","","","2","2","One","","3","","Square Feet","2017","2,364","2,780"
"1","T3444575","SLD","3403 W SAN JUAN ST","TAMPA","33629","$589,900","$530,000","","","6","6","One","","","","Square Feet","1956","1,519","1,519"
"1","T3444079","SLD","11519 GROVE ARCADE DR","RIVERVIEW","33569","$535,000","$530,000","","","11","11","One","","3","29x20","Square Feet","2004","2,759","3,596"
"1","T3442222","SLD","13515 WILLOW BLUESTAR LOOP","RIVERVIEW","33579","$539,990","$530,000","","","7","7","Two","","3","30x20","Square Feet","2021","3,078","3,678"
"1","T3442013","SLD","105 E MINNEHAHA ST","TAMPA","33604","$549,000","$530,000","","","54","54","One","","","","Square Feet","1963","2,309","2,505"
"1","T3443514","SLD","12804 PACIFICA PL","TAMPA","33625","$525,000","$535,000","","","-2","-2","One","","2","","Square Feet","1998","1,879","2,496"
"1","T3441364","SLD","1704 W HANNA AVE Unit#1/2","TAMPA","33604","$535,000","$535,000","","","6","6","One","","1","","Square Feet","2023","1,932","2,548"
"1","T3444490","SLD","5920 TULIP FLOWER DR","RIVERVIEW","33578","$535,500","$535,500","","","62","62","Two","","3","","Square Feet","2009","3,414","4,288"
"1","T3442614","SLD","103 E NORTH ST","TAMPA","33604","$525,000","$536,000","","","4","4","One","","","","Square Feet","1926","1,410","1,410"
"1","T3445035","SLD","2726 W VIOLET ST","TAMPA","33614","$549,900","$544,900","","","8","8","One","","","","Square Feet","1954","1,605","1,605"
"1","T3444202","SLD","3309 W SAINT CONRAD ST","TAMPA","33607","$554,000","$548,000","","","58","58","One","","","","Square Feet","2003","2,871","2,871"
